Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,0.7847319286603194,0.0,0.0,0.7367,0.5171047320848778,0.8301
1,0.4621593169294871,0.0,0.0,0.85598,0.4955704276320301,0.8571
2,0.41972113843911735,0.0,0.0,0.87974,0.5043187761985803,0.8686
3,0.3795949857204388,0.0,0.0,0.89388,0.4890776753802843,0.8765
4,0.27310381776247267,0.0,0.0,0.92344,0.45111493407925474,0.8933
5,0.19580189988781244,0.0,0.0,0.9446,0.4077406174774411,0.9016
6,0.15237312832703956,0.0,0.0,0.9554,0.411178217847136,0.9059
7,0.11328196612497171,0.0,0.0,0.96558,0.4027858195425589,0.9123
8,0.08393185763643721,0.0,0.0,0.97524,0.39918819994111604,0.9134
9,0.06598236294319997,0.0,0.0,0.98032,0.40152531466152097,0.9141
10,0.04813656099260044,0.0,0.0,0.98502,0.4122423933276647,0.9149
11,0.038732162706601694,0.0,0.0,0.9884,0.4260752217113217,0.9201
12,0.03168183525797362,0.0,0.0,0.9899,0.4029737345497065,0.9212
13,0.02075581327618028,0.0,0.0,0.99338,0.4206300883353511,0.9198
14,0.01874369679657647,0.0,0.0,0.99358,0.42194875659821907,0.9202
15,0.016341365714115687,0.0,0.0,0.99446,0.42985460190456126,0.9202
16,0.013014307950671093,0.0,0.0,0.99544,0.4239083368189727,0.9211
17,0.01084693671675781,0.0,0.0,0.99622,0.4298833745378482,0.9233
18,0.008580069476738571,0.0,0.0,0.99694,0.4308514704432669,0.924
19,0.009239755902970687,0.0,0.0,0.99638,0.4351224495640284,0.9217
