Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,5.135170179146987,0.0,0.0,0.58516,2.830443370191357,0.7631
0,5.007539421472794,0.0,0.0,0.5939,2.6738545245762113,0.7786
1,1.8957853366167117,0.0,0.0,0.83424,2.03853209109246,0.8294
2,1.236204314766786,0.0,0.0,0.88462,1.9074291722683967,0.8504
3,0.8914951257598706,0.0,0.0,0.91086,1.7491915557957902,0.8686
4,0.6621036556382209,0.0,0.0,0.92956,1.581504778771461,0.8808
5,0.5243463062155896,0.0,0.0,0.94188,1.4989016682286807,0.8863
6,0.42770998312566333,0.0,0.0,0.95104,1.614577297168442,0.8869
7,0.3104800321642333,0.0,0.0,0.96252,1.4908059684536126,0.8983
8,0.2402762266401297,0.0,0.0,0.96732,1.4934465262708785,0.9003
9,0.21937748111227753,0.0,0.0,0.97154,1.5180978103529048,0.9003
10,0.17479439367798943,0.0,0.0,0.97632,1.4125222609012942,0.9058
11,0.14459701866610722,0.0,0.0,0.97886,1.4420971140454086,0.908
12,0.1383379746746367,0.0,0.0,0.9803,1.4538445800920077,0.9059
13,0.11553206671719053,0.0,0.0,0.98216,1.4678674709947803,0.9095
14,0.107886415727417,0.0,0.0,0.983,1.5826216475873054,0.9018
15,0.09280724653079186,0.0,0.0,0.98502,1.4403705793091013,0.9127
16,0.07755876393081892,0.0,0.0,0.98706,1.4773122758804997,0.9114
17,0.06033384327918244,0.0,0.0,0.98918,1.4269360960284365,0.9154
18,0.0581402628621673,0.0,0.0,0.98958,1.4670153237596344,0.9148
19,0.053956242358674154,0.0,0.0,0.98994,1.4457766492910022,0.9167
