Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,0.8088051703877938,0.5700033504229326,0.23880181937263562,0.82256,0.26886376436752607,0.913
1,0.300636355808148,0.20519701294027842,0.09543934356516752,0.93116,0.19752384524179412,0.9329
2,0.21930200427006452,0.15056815773057633,0.06873384611919904,0.94862,0.1721766194965266,0.9403
3,0.1679867885959072,0.11551465972875938,0.05247212859969109,0.96084,0.1630533404553993,0.9436
4,0.13187125907876554,0.08992927222488782,0.04194198660552502,0.96958,0.15961708232194563,0.9442
5,0.10320802989105383,0.0692096129943354,0.033998416834630264,0.9775,0.1512816661992405,0.9466
6,0.08517356584182917,0.05682119944920907,0.028352366083373243,0.9817,0.15200863637124437,0.9483
7,0.06865596857208472,0.04536052649983993,0.023295442032842683,0.9857,0.15328384544464607,0.9488
8,0.054444309663123046,0.035271425132090466,0.0191728846468509,0.98894,0.1533237145388428,0.9492
9,0.04327088898429886,0.027154085071136553,0.016116803903013278,0.99202,0.15454644030785258,0.9497
10,0.03533660633943211,0.021704503676543634,0.013632102594233286,0.99348,0.1542874886595373,0.9499
11,0.029826001863544567,0.018009797206673867,0.011816204570305463,0.99512,0.15840742331516894,0.9515
12,0.023514161088193455,0.013524611642918526,0.009989549483483037,0.99616,0.1620029700990719,0.951
13,0.02036764486454045,0.011515560387991942,0.008852084460429465,0.99648,0.16117075958018062,0.9519
14,0.016733447328591958,0.009165705976864466,0.007567741352324494,0.9972,0.1635613842289659,0.9533
15,0.01497318427472447,0.008248324257632096,0.006724860054106475,0.9974,0.16192999321825896,0.9535
16,0.012772504867723165,0.0067296919603951465,0.00604281294434212,0.99774,0.16372082839849628,0.9526
17,0.010560950867007845,0.005316798436718109,0.005244152463721828,0.9981,0.1655733474070513,0.9513
18,0.009935145351128319,0.0052009249440370465,0.004734220384703711,0.99794,0.1684476198935056,0.9507
19,0.00861363738643913,0.004292494989931584,0.004321142403373065,0.99808,0.17119607852795457,0.9525
