Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,1.8073470778954335,1.2726447319373106,0.5347023442387581,0.57974,0.7405212559277499,0.7861
1,0.731997625491558,0.49503238254632703,0.23696524118765808,0.85748,0.41970915507666673,0.8742
2,0.5213160133514649,0.342573333856387,0.17874267899837248,0.8986,0.33687762821776956,0.8978
3,0.4183927918855961,0.26940464954345655,0.1489881413678328,0.91816,0.34093074726907513,0.8953
4,0.3442757459787222,0.21448119156635725,0.12979455397297174,0.93502,0.30545264539084854,0.904
5,0.30235514231981375,0.18376624767596905,0.11858889462474065,0.9437,0.2845151441383965,0.9103
6,0.2630208757061225,0.15441815317250215,0.1086027221992994,0.95346,0.3129234072528308,0.9015
7,0.22929228467819018,0.12833241971257406,0.10095986429697427,0.9598,0.28822693785157383,0.9087
8,0.21137547477697716,0.1151909042436343,0.09618457108736038,0.96462,0.31026876463165765,0.9061
9,0.19211265139090708,0.1009575169820052,0.09115513427517354,0.969,0.27337552814544,0.9177
10,0.17813191757752345,0.08979674535206496,0.08833517246903518,0.9716,0.26417226400933685,0.923
11,0.1630404831125186,0.07856841022387528,0.08447207283133115,0.9751,0.31137098900125,0.9114
12,0.15557314163217179,0.07292510755360126,0.08264803395439417,0.9767,0.3115958007453363,0.9144
13,0.14380440081541354,0.06401965553179766,0.07978474543644831,0.97912,0.28266955280228506,0.9182
14,0.14288604397040147,0.06450642781953017,0.07837961585475849,0.97918,0.2958655446013318,0.9164
15,0.13392138255712313,0.05719637381247221,0.0767250087016668,0.98176,0.29759844100173516,0.9177
16,0.1261098505403751,0.05148065094955456,0.07462919944754014,0.98336,0.26917594944751716,0.924
17,0.123968332948593,0.050269971300776185,0.0736983615045364,0.98334,0.2907594011365613,0.9208
18,0.12044279928772877,0.0475034163834957,0.07293938268453647,0.98378,0.2787449434399605,0.9256
19,0.1147782197747475,0.04300410534040286,0.07177411461105714,0.98524,0.29565806795336025,0.9225
