Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,4.324391745298337,0.0,0.0,0.2988,2.8229794879502887,0.5913
1,2.4326839618193796,0.0,0.0,0.64238,2.2842868536333496,0.6698
2,1.9001545715026367,0.0,0.0,0.71106,1.9983985786196552,0.7045
3,1.5836182760886657,0.0,0.0,0.7524,1.9121370164653924,0.7241
4,1.3835818651394967,0.0,0.0,0.78016,1.6987039348747157,0.7443
5,1.1867690338538244,0.0,0.0,0.80636,1.7189697132834905,0.7505
6,1.07066213060648,0.0,0.0,0.82648,1.662316650529451,0.7595
7,0.9512370183681831,0.0,0.0,0.84426,1.610210215743584,0.7706
8,0.8665528994340163,0.0,0.0,0.85946,1.639422590974011,0.771
9,0.808144962711212,0.0,0.0,0.86902,1.679491314706923,0.7728
10,0.7559087765904573,0.0,0.0,0.87804,1.5892059025885183,0.7836
11,0.6978596633825547,0.0,0.0,0.88696,1.6538201804402508,0.783
12,0.6436632509797048,0.0,0.0,0.89648,1.6942488475690913,0.7822
13,0.6126886985049798,0.0,0.0,0.90116,1.666416732570793,0.7849
14,0.5815481624160057,0.0,0.0,0.90614,1.6526710821103445,0.7865
15,0.5535477633850697,0.0,0.0,0.9114,1.6475840648518334,0.7924
16,0.5017425450759057,0.0,0.0,0.91984,1.6827520652662349,0.7907
17,0.48502380286271757,0.0,0.0,0.92118,1.6872075645229485,0.7884
18,0.4796087593986438,0.0,0.0,0.92224,1.700747272636317,0.7929
19,0.4504487098409579,0.0,0.0,0.92712,1.679698321638228,0.7964
