Epoch,Train Loss,CE Loss,Metric Loss,Train Acc,Val Loss,Val Acc
0,1.0298249243161617,0.0,0.0,0.6654,0.8335546330560611,0.737
1,0.8020195352725493,0.0,0.0,0.7532,0.8173937231679506,0.759
2,0.7614988517302733,0.0,0.0,0.7787,0.9415894890133338,0.7349
3,0.7641762961943944,0.0,0.0,0.78956,0.9541431937036635,0.7436
4,0.7135062255156346,0.0,0.0,0.81014,0.9345609741874888,0.7633
5,0.6591442510103568,0.0,0.0,0.82444,0.9438002169886722,0.7623
6,0.6193381790931408,0.0,0.0,0.83636,0.8507478176792965,0.7883
7,0.6048016218038705,0.0,0.0,0.84204,0.8499382349509227,0.7867
8,0.5759416141571143,0.0,0.0,0.85152,0.819739078419118,0.7874
9,0.5406022031337787,0.0,0.0,0.85962,0.843988052651852,0.7909
10,0.5335213367373516,0.0,0.0,0.86378,0.8453191103814524,0.7922
11,0.5106025840227421,0.0,0.0,0.8701,0.8926989888843102,0.7937
12,0.4935217767189711,0.0,0.0,0.87404,0.9079415058787865,0.7866
13,0.4803192810752453,0.0,0.0,0.87664,0.908066576794733,0.7858
14,0.4878183672825495,0.0,0.0,0.87696,0.8591432986380179,0.7899
15,0.4573385536670685,0.0,0.0,0.88494,0.8841390753094154,0.7902
16,0.45584943432074326,0.0,0.0,0.88582,0.8687790669972384,0.7948
17,0.442034675906866,0.0,0.0,0.8885,0.8959533670280553,0.7923
18,0.42823623273617184,0.0,0.0,0.89214,0.9490263529970676,0.79
19,0.43058206874590654,0.0,0.0,0.8927,0.9223858970630018,0.7868
